patent_number,patent_title,patent_date,inventor_city,inventor_country,inventor_first_name,inventor_first_seen_date,inventor_id,inventor_last_name,inventor_last_seen_date,inventor_lastknown_city,inventor_lastknown_country,inventor_sequence,inventor_state,inventor_state_fips,inventor_total_num_patents
D766089,Container,2016-09-13,Elmont,US,Kiat-Cheong,1998-02-24,fl:ki_ln:toh-3,Toh,2022-02-22,Elmont,US,1,NY,36,120
D766089,Container,2016-09-13,Texcoco de Mora,MX,Jorge,2016-05-24,fl:jo_ln:becerra-1,Becerra,2020-03-17,Llano Grande,MX,2,,,7
D766089,Container,2016-09-13,Devizes,GB,Corinne Elizabeth,2016-05-24,fl:co_ln:ashbee-1,Ashbee,2020-03-17,Hungerford,GB,5,,,11
D766089,Container,2016-09-13,Querétaro,MX,Luis Rodolfo,2013-07-02,fl:lu_ln:arevalopliego-2,Arevalo Pliego,2020-03-17,Juriquilla,MX,3,,,6
D766089,Container,2016-09-13,Texcoco de Mora,MX,Claudia Daniela,2013-07-02,fl:cl_ln:maciasmejia-1,Macias Mejia,2023-05-02,New York,US,0,,,14
D766089,Container,2016-09-13,Devizes,GB,John David,1996-03-26,fl:jo_ln:lamb-12,Lamb,2020-03-17,Pewsey,GB,4,,,98
D766342,Frontloader,2016-09-13,Monterrey,MX,Mauricio,2016-09-13,fl:ma_ln:delagarza-1,de la Garza,2022-10-11,Monterrey,MX,2,,,3
D766342,Frontloader,2016-09-13,Monterrey,MX,Daniel,2016-09-13,fl:da_ln:esqueda-1,Esqueda,2022-10-11,San Pedro,MX,0,,,6
D766342,Frontloader,2016-09-13,Monterrey,MX,Israel,2016-09-13,fl:is_ln:priego-1,Priego,2021-08-03,Augusta,US,1,,,8
D766343,Front end final loader,2016-09-13,Monterrey,MX,Carlos,2015-10-06,fl:ca_ln:vargas-1,Vargas,2021-05-25,Monterrey,MX,2,,,4
D766343,Front end final loader,2016-09-13,Guadalupe,MX,Diego Adrian,2014-03-18,fl:di_ln:villarreal-1,Villarreal,2020-02-25,Monterrey,MX,7,,,6
D766343,Front end final loader,2016-09-13,Ramos Arizpe,MX,Jose Rene,2016-09-13,fl:jo_ln:linan-1,Liñan,2018-10-23,Ramos Arizpe,MX,0,,,3
D766343,Front end final loader,2016-09-13,Ixmiquilpan,MX,Gloria Irene,2016-09-13,fl:gl_ln:gutierrez-2,Gutierrez,2016-09-13,Ixmiquilpan,MX,5,,,1
D766343,Front end final loader,2016-09-13,Monterrey,MX,Oscar Alberto,1995-01-03,fl:os_ln:villarreal-1,Villarreal,2016-09-13,Monterrey,MX,3,,,2
D766343,Front end final loader,2016-09-13,San Pedro Garza García,MX,Juan Pablo,2016-09-13,yio113u5k9sq4i82hef0862s9,Cantisani,2016-09-13,San Pedro Garza García,MX,6,,,1
D766343,Front end final loader,2016-09-13,Monterrey,MX,Rene Ismael,2016-09-13,zzo52nf9d6bipe0pbvx850l5i,De La Garza,2016-09-13,Monterrey,MX,1,,,1
D766343,Front end final loader,2016-09-13,Monterrey,MX,Kathia Lucia,2016-09-13,33115jymr3c1f73n6xd58ingg,Amarante,2016-09-13,Monterrey,MX,4,,,1
