NOMBRE DEL INVESTIGADOR,NOMBRE DEL INVESTIGADOR PATENTE,SIMILARITY
"BEAS BUJANOS,JOAQUIN","BEAS BUJANOS,JOAQUIN",100.0
"GARCIA BECERRA,ALEJANDRA","BECERRA,ALEJANDRO",77.77777777777777
"BERNAL FERNANDEZ,GERMAN","BECERRIL HERNANDEZ,GERMAN",88.23529411764706
"BECERRIL LUJAN,BALTAZAR","BECERRIL LUJAN,BALTAZAR",100.0
"BECERRIL LUJAN,BALTAZAR","BECERRIL,BALTAZAR",86.36363636363637
"CHIAS BECERRIL,LUIS","BECERRIL,LUIS",86.36363636363637
"CISNEROS DE LA ROSA,ALEJANDRO","BECKER DEL RIO,ALEJANDRO",80.30303030303031
"HERNANDEZ ALVA,ADRIAN","BELTRAN CALVA,ADRIAN",83.33333333333334
"BELTRAN CHACON,RICARDO","BELTRAN CHACON,RICARDO",100.0
"BELTRAN CONDE,HIRAM ISAAC","BELTRAN CONDE,HIRAM ISAAC",100.0
"BELTRAN CONDE,HIRAM ISAAC","BELTRAN CONDE,HIRAM ISSAC",95.45454545454545
"BELTRAN ALVAREZ,ROSA MARIA","BELTRAN CORONA,JOSE MARIA",71.0344827586207
"BELTRAN BEACHE,MARIANA","BELTRAN,MARIA",75.0
"BENAVIDES LOZANO,JORGE ALEJANDRO","BENAVIDES LOZANO,JORGE ALEJANDRO",100.0
"HERNANDEZ PEREZ,RICARDO","BENAVIDES PEREZ,RICARDO",86.66666666666667
"BETANCOURT MARTINEZ,FERNANDO JESUS","BENCOMO ARVIZO,FERNANDO LUIS",71.04377104377105
"TEJEDA MARTINEZ,ADALBERTO","BENCOMO MARTINEZ,ALBERTO",76.00806451612902
"BENITEZ AGUILAR,JOSE LUIS RODOLFO","BENITEZ AGUILAR,JOSE LUIS RODOLFO",100.0
"MEDINA LOPEZ,RAYMUNDO","BENITEZ LOPEZ,RAYMUNDO",82.0
"HENNEY,WILLIAM JOHN","BENNETT,WILLIAM F",68.86446886446886
"ROLDAN MARIN,RODRIGO","BERLANGA ZAMARRON,RODRIGO",81.0344827586207
"JUAREZ MENDOZA,OSCAR","BERMUDEZ MENDIZABAL,OSCAR",80.30303030303031
"BERNAD BERNAD,MARIA JOSEFA","BERNAD BERNAD,MARIA JOSEFA",100.0
"HERNANDEZ MARTINEZ,MIGUEL","BERNAL MARIN,MIGUEL",83.33333333333334
"ROVIRA VAZQUEZ,GABRIEL ANTONIO","BERNAL VAZQUEZ,RAFAEL ANTONIO",73.64532019704433
"BERNAL PONCE,LUIS ARTURO","BERNAL,LUIS ALBERTO",72.46376811594203
"GUZMAN RAMIREZ,ENRIQUE","BETANCOURT RAMIREZ,ENRIQUE",81.25
"TAPIA SANCHEZ,ROBERTO","BETANCOURT SANCHEZ,ROBERTO",82.25806451612902
"CANTO SANTANA,GABRIEL IVAN","BETANCOURT SANTANA,GABRIELA",75.48387096774194
"VARGAS BETANCOURT,ENRIQUE","BETANCOURT,ENRIQUE",87.03703703703704
"GARCIA GARCIA,VICTOR","BLANCAS GARCIA,VICTOR",87.03703703703704
