NOMBRE DEL INVESTIGADOR,NOMBRE_INVENTOR,Ratio
"PINEDA HERRERA,MARIBEL","PINEDA HERRERA,MARIBEL",100.0
"TREJO RODRIGUEZ,ARTURO","TREJO RODRIGUEZ,ARTURO",100.0
"ANGELES CHAVEZ,CARLOS","ANGELES CHAVEZ,CARLOS",100.0
"LOPEZ SALINAS,ESTEBAN","LOPEZ SALINAS,ESTEBAN",100.0
"TORRES GARCIA,ENELIO","TORRES GARCIA,ENELIO",100.0
"ESCOBAR AGUILAR,JOSE","ESCOBAR AGUILAR,JOSE",100.0
"GUTIERREZ ALEJANDRE,AIDA","GUTIERREZ ALEJANDRE,AIDA",100.0
"FERRAT TORRES,GERARDO","FERRAT TORRES,GERARDO",100.0
"CORTES JACOME,MARIA ANTONIA","CORTES JACOME,MARIA ANTONIA",100.0
"PEREZ LUNA,MIGUEL","PEREZ LUNA,MIGUEL",100.0
"TOLEDO ANTONIO,JOSE ANTONIO","TOLEDO ANTONIO,JOSE ANTONIO",100.0
"MENESES RUIZ,EDITH","MENESES RUIZ,EDITH",100.0
"PANIAGUA CHAVEZ,CARMEN GUADALUPE","PANIAGUA CHAVEZ,CARMEN GUADALUPE",100.0
"VELA GARCIA,LUIS RENE","VELA GARCIA,LUIS RENE",100.0
"VASILIEVNA KHARISSOVA,OXANA","VASILIEVNA KHARISSOVA,OXANA",100.0
"PENA PARAS,LAURA","PENA PARAS,LAURA",100.0
"MALDONADO CORTES,DEMOFILO","MALDONADO CORTES,DEMOFILO",100.0
"RAMIREZ SABAG,JETZABETH","RAMIREZ SABAG,JETZABETH",100.0
"PANIAGUA SOLIS,JORGE FERNANDO","PANIAGUA SOLIS,JORGE FERNANDO",100.0
"LICEA NAVARRO,ALEXEI FEDOROVISH","LICEA NAVARRO,ALEXEI FEDOROVISH",100.0
"SANCHEZ CAMPOS,LILIANA NOEMI","SANCHEZ CAMPOS,LILIANA NOEMI",100.0
"SANTILLAN GODINEZ,ORLANDO","SANTILLAN GODINEZ,ORLANDO",100.0
"CABANILLAS LOPEZ,RAFAEL ENRIQUE","CABANILLAS LOPEZ,RAFAEL ENRIQUE",100.0
"MEDINA MENDOZA,ANA KARINA","MEDINA MENDOZA,ANA KARINA",100.0
"GONZALEZ VILLARREAL,JOSE ALEJANDRO","GONZALEZ VILLARREAL,JOSE ALEJANDRO",100.0
"TALAMANTES SILVA,JOSE","TALAMANTES SILVA,JOSE",100.0
"VITE VALLEJO,ODON","VITE VALLEJO,ODON",100.0
"RODRIGUEZ ZAPATA,LUIS CARLOS","RODRIGUEZ ZAPATA,LUIS CARLOS",100.0
"CASTANO DE LA SERNA,ENRIQUE","CASTANO DE LA SERNA,ENRIQUE",100.0
"PEREIRA SANTANA,ALEJANDRO","PEREIRA SANTANA,ALEJANDRO",100.0
"FIGUEROA YANEZ,LUIS JOEL","FIGUEROA YANEZ,LUIS JOEL",100.0
"RUIZ RUIZ,FEDERICO AUGUSTO","RUIZ RUIZ,FEDERICO AUGUSTO",100.0
"RITO PALOMARES,MARCO ANTONIO","RITO PALOMARES,MARCO ANTONIO",100.0
"VAZQUEZ VILLEGAS,OLGA PATRICIA","VAZQUEZ VILLEGAS,OLGA PATRICIA",100.0
"GUTIERREZ,LUIS","GUTIERREZ,LUIS",100.0
"ACOSTA GONZALEZ,GUILLERMO ENRIQUE","ACOSTA GONZALEZ,GUILLERMO ENRIQUE",100.0
"PEZZOTTI ROBLETO,FABIO","PEZZOTTI ROBLETO,FABIO",100.0
"BARROSO VILLA,JUAN GERARDO","BARROSO VILLA,JUAN GERARDO",100.0
"TERVEN SALINAS,JUAN RAMON","TERVEN SALINAS,JUAN RAMON",100.0
