NOMBRE_INVENTOR
"Jalpa,Jonathan Kaleb"
"Vargas Morelli Luna,Mark"
"Romero,Edgar Emanuel"
"Mayville,Jeffrey Scott"
"Vazquez Orpinel,Paulina"
"Espiritu Santo Rincon,Antonio"
"Del Moral Diaz,Rodrigo"
"Ocegueda Perez,Luis Antonio"
"Mejia Jaramillo,Allan Alberto"
"Ortiz Vega,Gabriel"
"Ortega Garcia,Edgar Javier"
"Lopacki,Julian"
"Acosta Flores,Alejandro Eli"
"Zuniga,Armando X"
"Rowe,Nicholas"
"Fragoso Medina,Omar"
"Coronado,Eduardo"
"Marshman,David Paul"
"Medina Luna,Maria Fernanda"
"Lopez,Martin"
"Bermudez,Rodolfo"
"Hernandez,Heriberto"
"Sivakumar,Gandhi"
"Veerkamp,Ana P H"
"Nunez,Selene M O"
"Pikle,Anand"
"Dhondse,Amol A"
"Linan,Jose Rene"
"Paillet,Frederic"
"Zaldivar Ortiz,Laura Nathaly"
"Morales Estevez,Adriana"
"Plata,Francisco"
"Zamora Romero,Fernando"
"Dominguez Cuevas,Ana Magdalena"
"Barrios Albert,Jorge Guillermo"
"Baten,Robert Allen"
"Aguilar,Artemio Josue"
"Ramirez,Mario Oscar"
"Aguilar Mendez,Jose Antonio"
"Magallanes Montalvo,Gerardo Manuel"
"Bousbaine,Karim"
"Magana,Ricardo Emilio"
"Heda,Sanjeev Shyam"
"Cano,Jorge"
"Ascencio,Vasanthi"
"Morales,Benjamin Moises"
"Chandra,Dibakar"
"Li,Bryan"
"Portier,Bertrand H"
"Shinde,Suraj"
"Almonte,Viviano"
"NAVA,Carlos Fabian"
"Celis Torres,Williams Reynaldo"
"Aguilera Ramirez,Miguel Alfonso"
"Tellez Valdes,Jorge Carlos"
"Castillo Jaime,Luis Enrique"
"Malapati,Srinivas Reddy"
"Morales Cabrera,Gustavo"
"Kawata,Hiroyuki"
"Arai,Hayato"
"Yasui,Takeshi"
"Komami,Ryosuke"
"Ueda,Kohei"
"Nakamura,Toyomitsu"
"Maruyama,Naoki"
"Uchida,Satoshi"
"Yamaguchi,Yuji"
"Cheng,Elmer Chi Hang"
"Xu,Dong"
"Ocegueda,Victor"
"Raisch,Sven Robert"
"Bader,Maximilan Oscar"
"Schmiederer,Dirk"
"Tuechert,Carsten"
"Mares,Jose Eduardo R"
"Quinteros,Francisco Javier O"
"Kilgore Norquest,Lora Lynn"
"Molnar,Terence Luke"
"Steinke,Jennifer Ann"
"Mondragon Hernandez,Norberto"
"Horta Hernandez,Gabriel Yaokoatl"
"Rios Rendon,Juan Pablo"
"Pena Casimiro,Jesus Alejandro"
"Gutierrez Gaspar,Jose Humberto"
"Kochhar,Nand K"
"Figueroa Martinez,Moises"
"Hecht Aguilar,Martha Carmen Elena"
"Ramirez Olvera,Jose Alfredo"
"Sampson,Adam"
"Le,Tuan"
"Arkalgud,Krishnaditya"
"Gonzalez,Pedro"
"Najera,Gerardo Rodriguez"
"Rodriguez,Vladimir Cano"
"Robledo Guerrero,Nabor"
"Wirz Luchsinger,Pedro"
"Rodriguez,Juan"
"Peniche,Enrique Granell"
"Del Pozo Gonzalez,Luis Miguel"
"Del Rio Aspra,Xavier Jesus"
"Arellano Escarpita,David Alejandro"
"Sada Salinas,Jaime G"
"Biffle,Stephen Matthew"
"Auzelyte,Ramune"
"Laing,Donald Gordon"
"Rochin Machado,Jorge Mario"
"Hernandez Nevarez,Jorge Alonso"
"Martinez Hernandez Magro,Agueda"
"Hamilton, II,Rick A"
"Villasenor,Luis"
"Rosener,Douglas K"
"Ortega Conde,Virginia"
"Leon Guerrero,Miguel Angel"
"Marquez Benitez,Marco Antonio"
"Lorenz,Klaus"
"Rubio,Ivan"
"Velazquez,Marco"
"Gomez,Jaime"
"Bernal,Sarai"
"Tlaxcala,Jose"
"Puga,Heriberto"
"Cortes,Karina"
"Soto,Miguel"
"Michi,Diego"
"Bakan,Murat"
"Farahati,Rashid"
"Cano Rodriguez,Vladimir"
"Aquino Olivos,Marco Antonio"
"Randzio,Stanislaw"
"Grolier,Jean Pierre"
"Zuniga Juarez,Jose Eleazar"
"Zhang,Yifeng"
"Blaszcak,Peter Paul"
"Mendez Padilla,Juan Martin"
"Motadel,Arta"
"Martinez,Johan Gomez"
"Quiroz de la Mora,Luis Ernesto"
"Hernandez Rodriguez,Flavio"
"Suarez,Jose Luis"
"Miera,Michele L"
"Sanchez,Audel A"
"Michel Sanchez,Gabriela"
"Castaneda,Iliana Enelia Fiscal"
"Thompson,Jennifer"
"Newman,Deborah"
"West,Jonathan Charles Devlin"
"Hunt,Deana Clarke"
"Schopieray,Jillian"
"Gonzalez,Humberto Olmos"
"Olguin,Oscar"
"Reyes Flores,Luis Rafael"
"DeVoe,Aileen M"
"Shin,Se Kyoon"
"Misikir,Laike"
"Midoun,Djamal Eddine"
"Makowski,Matthew B"
"Ortega,Edgar Javier"
"Perez Guevara,Jose Antonio"
"Contreras,Francisco Javier Soria"
"Jimenez,Ana Katia Silva"
"Galindo,Victor Gerardo Caloca"
"Balderas,Jonathan Tovar"
"Fajardo,Victor"
"Yang,Tae Young"
"Camacho Perez,Jose Rodrigo"
"Suh,Seong Youp"
"Urrea,Julio"
"Perez,Hector"
"Bold,Gary M"
"Lovelace,John V"
"Morris,Tonia G"
"Perez Guevara,Alberto David"
"Zhou,Ying"
"Sotelo,Jorge"
"Herrera Gutierrez,Nicole Pamela"
"Huerta,Eva Talia"
"Canales,Javier"
"Flores Villarreal,Humberto"
"Coronado,Mauricio"
"Sada,Jorge"
"Patino Crespo,Daniel"
"Juan Lien Chang,Raymundo"
"Haefner,John S"
"Prichard,James B"
"Olague,Arturo U"
"Stark,Mark H"
"Viesca,Jorge D"
"Mendoza,Soraya C"
"Gutierrez Estrada,Juan Jose"
"Navarrete,Cecilia Acuna"
"Clamont Bello,Claudio Alberto"
"Felix Frias,Carlos Humberto"
"Vaz Camara,Eloy"
"de la Garza de la Fuente,Jose Angel"
"Salazar Loera,Jose Jonathan"
"De La Mora Ramirez,Rodolfo"
"Borbolla Resenos,Miguel"
"Hernandez Covarrubias,Alejandro"
"Gasca Fuentes,Elida Yazmin"
"Valencia Flores,Juan Carlos"
"Hernandez Sanchez,Omar Rene"
"Onishi,Hideaki"
"Yoshimoto,Hiroyuki"
"Matsumoto,Kazuya"
"Sogabe,Hiroshi"
"Kito,Masatoki"
"OHTANI,Kenji"
"Komuta,Ryo"
"Ferreira,Francisco"
"Nielsen,Lars Kristian"
