Inventor,inventor_id,a
Marcela Verónica Arizpe Rodríguez,fl:ma_ln:rodriguez-11,
Marco Antonio Aquino Olivos,fl:ma_ln:aquinoolivos-2,
Marco Antonio Gonzalez Garcia,fl:ma_ln:gonzalezgarcia-5,
Marco Antonio Hidrogo Ordaz,fl:ma_ln:hidrogoordaz-1,
Marco Sanchez,fl:ma_ln:sanchez-57,
Marcos Ahuizotl Fragoso Iñiguez,fl:ma_ln:fragosoiniguez-1,
Maria del Mar Cepeda Garcia,fl:ma_ln:garcia-18,
Maria del Pilar Arzola Garcia,fl:ma_ln:arzolagarcia-1,
Maria Elena Vazquez,fl:ma_ln:vazquez-7,
Maria Fernanda Pulido Plauchud,fl:ma_ln:pulidoplauchud-1,
Maria Fernandez Trevino,fl:ma_ln:trevino-1,
Maria Gonzalez,fl:ma_ln:gonzalez-9,
Maria Nohemi Bravo Solis,fl:ma_ln:bravosolis-1,
Maria Teresa Guerra-Reyes,fl:ma_ln:guerrareyes-2,
María Teresa Mata-González,fl:ma_ln:matagonzalez-1,
Mario Alejandro Medina Huerta,fl:ma_ln:medinahuerta-1,
Mario Contreras Sosa,fl:ma_ln:contrerassosa-1,
Mario Garcia Lannoy,fl:ma_ln:lannoy-1,
Mario Sergio Sandate Aguilar,fl:ma_ln:sandateaguilar-1,
Martin Zamorano Fragoso,fl:ma_ln:fragoso-2,
Mauricio de la Garza,fl:ma_ln:delagarza-1,
Mauricio Enrique Ferrusca Ceja,fl:ma_ln:ferruscaceja-1,
Mauricio Javier Gutierrez Romero,fl:ma_ln:romero-8,
Mauricio Zambrano,fl:ma_ln:zambrano-1,
Michelle Carolina Herrera Gutierrez,fl:mi_ln:herreragutierrez-1,
Miguel Arias-Estrada,fl:mi_ln:ariasestrada-1,
Miguel Arroyo Ortega,fl:mi_ln:arroyoortega-1,
Miguel Bernal Marin,fl:mi_ln:bernalmarin-1,
Miguel Bravo-Zanoguera,fl:mi_ln:bravozanoguera-1,
Miguel Camargo Soto,fl:mi_ln:camargosoto-1,
Miguel E. Madero O'Brien,fl:mi_ln:maderoo'brien-1,
Miguel F. Escobar,fl:mi_ln:escobar-2,
Miguel Hernandez,fl:mi_ln:hernandez-6,
Miguel Morfin Diaz,fl:mi_ln:morfindiaz-1,
Mike Appleby,fl:mi_ln:appleby-2,
Mikhail G. Shlyagin,fl:mi_ln:shlyagin-1,
Minerva Nieto Torres,fl:mi_ln:nietotorres-1,
Moises Lopez,fl:mo_ln:lopez-4,
Monica Mendoza,fl:mo_ln:mendoza-1,
Nathali Vasquez Henao,fl:na_ln:vasquezhenao-1,
Nicole Pamela Herrera Gutierrez,fl:ni_ln:herreragutierrez-1,
Norma Araceli García Muñoz,fl:no_ln:garciamunoz-1,
Octavio Beltran Salinas,fl:oc_ln:salinas-1,
Octavio Parra Tabla,fl:oc_ln:tabla-1,
Ola Lantz,fl:ol_ln:lantz-1,
Omar Antonio Ramirez,fl:om_ln:ramirez-1,
Omar Rene Hernandez Sanchez,fl:om_ln:hernandezsanchez-1,
Omar Yuren Mendoza Bravo,fl:om_ln:mendozabravo-1,
Orlando Santillan Godinez,fl:or_ln:santillangodinez-1,
Oscar Alvarez,fl:os_ln:alvarez-4,
Oscar Hernandez Cervantes,fl:os_ln:hernandezcervantes-1,
Oscar Saavedra,fl:os_ln:saavedra-2,
Pablo Alejandro del Angel Marrufo,fl:pa_ln:marrufo-1,
Pablo Daniel Molina Cardozo,fl:pa_ln:molinacardozo-1,
Pablo Gomez,fl:pa_ln:gomez-8,
Pablo Vidales,fl:pa_ln:vidales-1,
Pablo-Enrique Duarte-Escareno,fl:pa_ln:duarteescareno-2,
Patricia Luevano,fl:pa_ln:luevano-1,
Patricia Luevano Gonzalez,fl:pa_ln:luevanogonzalez-1,
Patricia Olguin Lora,fl:pa_ln:olguinlora-1,
Pedro Montoya,fl:pe_ln:montoya-1,
Pedro Yabur Pacheco,fl:pe_ln:yaburpacheco-1,
Philippe Leff Gelman,fl:ph_ln:gelman-1,
Rafael Avalos-Guzman,fl:ra_ln:avalosguzman-1,
Rafael Valadez-Castillo,fl:ra_ln:valadezcastillo-1,
Ramón Alberto Aguilar Armendariz,fl:ra_ln:armendariz-1,
Ramón Oswaldo G. Medina,fl:ra_ln:medina-1,
Ramón PARRA MICHEL,fl:ra_ln:parramichel-1,
Ramses Galaz Mendez,fl:ra_ln:galazmendez-1,
Raul Caballero,fl:ra_ln:caballero-2,
Raul Campogarrido,fl:ra_ln:campogarrido-1,
Raúl Dominguez Palestino,fl:ra_ln:dominguezpalestino-1,
Raul G. Enriquez,fl:ra_ln:enriquez-2,
Raul Navarro-Mascarell,fl:ra_ln:navarromascarell-1,
Ricardo Abraham De La Cruz Cordero,fl:ri_ln:delacruzcordero-1,
Ricardo Alejandro Lopez Guajardo,fl:ri_ln:lopezguajardo-1,
Ricardo Benavides-Perez,fl:ri_ln:benavidesperez-1,
Ricardo Cano,fl:ri_ln:cano-2,
Ricardo Elizondo Costa,fl:ri_ln:costa-3,
Ricardo Jimenez,fl:ri_ln:jimenez-1,
Ricardo Rey Diez,fl:ri_ln:diez-1,
Ricardo Sánchez-Ortega,fl:ri_ln:sanchezortega-1,
Roberto C. Medellin,fl:ro_ln:medellin-1,
Roberto C. Narro,fl:ro_ln:narro-1,
Roberto Carrillo Fuentevilla,fl:ro_ln:carrillofuentevilla-1,
Roberto Cruz,fl:ro_ln:cruz-14,
Roberto Flores Ortega,fl:ro_ln:ortega-5,
Roberto Miranda Guerrero,fl:ro_ln:mirandaguerrero-1,
Roberto Morales,fl:ro_ln:morales-10,
Roberto Octaviano Flores-Serrano,fl:ro_ln:floresserrano-1,
Roberto Olvera-Camacho,fl:ro_ln:olveracamacho-1,
Roberto Ramirez-Delgado,fl:ro_ln:ramirezdelgado-1,
Roberto Rodolfo Kretschmer Schmid,fl:ro_ln:schmid-15,
Roberto Sonabend,fl:ro_ln:sonabend-1,
Rodolfo Flores-Flores,fl:ro_ln:floresflores-1,
