Nombre Buscado,Mejor Coincidencia,Similitud
"MORENO CADENAS,JOSE ANTONIO","MORENO CADENAS,JOSE ANTONIO",100.0
"HACYAN SALERYAN,SAHEN","HACYAN SALERYAN,SAHEN",100.0
"JUAREZ WYSOZKA,SARA REBECA","JUAREZ WYSOZKA,SARA REBECA",100.0
"RODRIGUEZ Y ARAUJO,OCTAVIO","RODRIGUEZ Y ARAUJO,OCTAVIO",100.0
"SOTO HERNANDEZ,RAMON MARCOS","SOTO HERNANDEZ,RAMON MARCOS",100.0
"CORDERO BORBOA,ADOLFO ERNESTO","CORDERO BORBOA,ADOLFO ERNESTO",100.0
"TAPIA IBARGUENGOYTIA,RICARDO JORGE","TAPIA IBARGUENGOYTIA,RICARDO JORGE",100.0
"ROJAS GONZALEZ,FERNANDO","ROJAS GONZALEZ,FERNANDO",100.0
"CASTILLO ALVARADO,FRAY DE LANDA","CASTILLO ALVARADO,FRAY DE LANDA",100.0
"KORNHAUSER STRAUS,ISAAC","KORNHAUSER STRAUS,ISAAC",100.0
"WILSON ROBERTS,RICHARD GORDON","WILSON ROBERTS,RICHARD GORDON",100.0
"CANTO ILLA,JORGE DANIEL CARLOS","CANTO ILLA,JORGE DANIEL CARLOS",100.0
"GALINDO FENTANES,ENRIQUE","GALINDO FENTANES,ENRIQUE",100.0
"GARCIA SALGADO,TOMAS","GARCIA SALGADO,TOMAS",100.0
"OLIVA SALINAS,JUAN GERARDO","OLIVA SALINAS,JUAN GERARDO",100.0
"DELGADILLO MOYA,CLAUDIO","DELGADILLO MOYA,CLAUDIO",100.0
"BARRIO PAREDES,RAFAEL ANGEL","BARRIO PAREDES,RAFAEL ANGEL",100.0
"TAGÜEÑA PARGA,JULIA","TAGÜEÑA PARGA, JULIA",97.43589743589743
"ROSADO SOLIS,MARGARITA EUGENIA DEL SOCORRO","ROSADO SOLIS,MARGARITA EUGENIA DEL SOCORRO",100.0
"ROMO DE VIVAR ROMO,ALFONSO","ROMO DE VIVAR ROMO,ALFONSO",100.0
"URIBE SANCHEZ,FRANCISCO JAVIER","URIBE SANCHEZ,FRANCISCO JAVIER",100.0
"CONTRERAS PEREZ,CARLOS MANUEL","CONTRERAS PEREZ,CARLOS MANUEL",100.0
"BRODA PRUCHA,JOHANNA","BRODA PRUCHA,JOHANNA",100.0
"SABINA CISCAR,FEDERICO JUAN","SABINA CISCAR,FEDERICO JUAN",100.0
"GARCIA REIMBERT,CATHERINE","GARCIA REIMBERT,CATHERINE",100.0
"MELLO PICCO,PIER ACHILLE","MELLO PICCO,PIER ACHILLE",100.0
"MEDINA MORA ICAZA,MARIA ELENA TERESA","MEDINA MORA ICAZA,MARIA ELENA TERESA",100.0
"FAHMEL BEYER,BERND WALTER FEDERICO","FAHMEL BEYER,BERND WALTER FEDERICO",100.0
"KLAPP ESCRIBANO,JAIME LAZARO","KLAPP ESCRIBANO,JAIME LAZARO",100.0
"BRAILOVSKY Y ALPEROWITZ,HARRY URAD","BRAILOVSKY Y ALPEROWITZ,HARRY URAD",100.0
"SORIANO GARCIA,MANUEL","SORIANO GARCIA,MANUEL",100.0
"TOSCANO,RUBEN ALFREDO","TOSCANO , RUBEN ALFREDO",95.45454545454545
"MORALES ACEVEDO,JOSE ARTURO","MORALES ACEVEDO,JOSE ARTURO",100.0
"AZORIN NIETO,JUAN","AZORIN NIETO,JUAN",100.0
"AMAYA TAPIA,ALEJANDRO","AMAYA TAPIA,ALEJANDRO",100.0
"GOMEZ MONT AVALOS,XAVIER","GOMEZ MONT AVALOS,XAVIER",100.0
"SALMON SALAZAR,MANUEL DE JESUS","SALMON SALAZAR,MANUEL DE JESUS",100.0
"LOPEZ REVILLA,RUBEN HIPOLITO","LOPEZ REVILLA,RUBEN HIPOLITO",100.0
"VALENCIA JUILLERAT,MAURO EDUARDO FERNANDO","VALENCIA JUILLERAT,MAURO EDUARDO FERNANDO",100.0
"PEREZ GUTIERREZ,MARIA SALUD","PEREZ GUTIERREZ,MARIA SALUD",100.0
