NOMBRE_INVENTOR,NOMBRE DEL INVESTIGADOR,Ratio,inventor_id,CVU
"MARTINEZ,ALEJANDRO","MARTINEZ RIOS,ALEJANDRO",88.0,,22338.0
"MARTINEZ,DANIEL","MARTINEZ FONG,DANIEL",88.0,fl:he_ln:martinez-1,3516.0
"MARTINEZ,JUAN MANUEL","MARTINEZ SOTO,JUAN MANUEL",88.0,,491885.0
"RUIZ,FACUNDO","RUIZ X,FACUNDO",88.0,,7786.0
"VILLANUEVA,RAFAEL","VILLANUEVA OLEA,RAFAEL",88.0,,325261.0
"GRAEVE,OLIVIA A","GRAEVE,OLIVIA AMALIA",92.85714286,,450195.0
"NIETO ALVAREZ,DAVID AARON","NIETO ALVAREZ,DAVID ARROON",94.11764706,fl:da_ln:nietoalvarez-1,120701.0
"CADENA NAVA,RUBEN D","CADENA NAVA,RUBEN DARIO",94.44444444,,36135.0
"LOPEZ MACIAS,CONSTANTINO ILL ROBERTO","LOPEZ MACIAS,CONSTANTINO III ROBERTO",94.44444444,,16329.0
"GARCIA Y GARCIA,JOSE","GARCIA GARCIA,JOSE RAYMUNDO FROYLAN",94.73684211,,9947.0
"CAMACHO PEREZ,JOSE R","CAMACHO PEREZ,JOSE RODRIGO",94.73684211,fl:jo_ln:camachoperez-2,46302.0
"REYES TABOADA,JOSE L","REYES TABOADA,JOSE LUIS",94.73684211,,33950.0
"MORENO CUEVAS,JORGE E","MORENO CUEVAS,JORGE EUGENIO",95.0,,22367.0
"GUZMAN LOPEZ,MIGUEL A","GUZMAN LOPEZ,MIGUEL ANGEL",95.0,,55651.0
"GONZALEZ ROMERO,ADRIAN","GONZALEZ ROMO,ADRIAN",95.23809524,,122085.0
"RITO PALOMARES,MARCO A","RITO PALOMARES,MARCO ANTONIO",95.23809524,,9659.0
"PANIAGUA SOLIS,JORGE F","PANIAGUA SOLIS,JORGE FERNANDO",95.23809524,,120284.0
"LICEA NAVARRO,ALEXEI F","LICEA NAVARRO,ALEXEI FEDOROVISH",95.23809524,,14434.0
"HIRATA FLORES,GUSTAVO A","HIRATA FLORES,GUSTAVO ALONSO",95.45454545,,10222.0
"GALVAN MIYOSHI,JULIAN M","GALVAN MIYOSHI,JULIAN MASASUE",95.45454545,,39054.0
"VARGAS LUNA,FRANCISCO M","VARGAS LUNA,FRANCISCO MIGUEL",95.45454545,,9949.0
"RODRIGUEZ JASSO,ANDRES F","RODRIGUEZ JASSO,ANDRES FERNANDO",95.65217391,,89342.0
"GONZALEZ GALVAN,EMILIO J","GONZALEZ GALVAN,EMILIO JORGE",95.65217391,,19100.0
"CAMACHO VILLEGAS,TANYA A","CAMACHO VILLEGAS,TANYA AMANDA",95.65217391,,164427.0
"DE LEON RODRIGUEZ,LUIS M","DE LEON RODRIGUEZ,LUIS MANUEL",95.65217391,,25966.0
"ALDAYA GARDE,IVAN ARTIZ","ALDAYA GARDE,IVAN ARITZ",95.65217391,,322867.0
"GARCIA SANCHEZ,GUSTAVO A","GARCIA SANCHEZ,GUSTAVO ADOLFO",95.65217391,,
"VILLARREAL TREVINO,JUAN A","VILLARREAL TREVINO,JUAN ANTONIO",95.83333333,fl:ju_ln:villarrealtrevino-1,32126.0
"MUNOZ MOYA,JOSE ANTONIO D","MUNOZ MOYA,JOSE ANTONIO DOMINGO",95.83333333,,121555.0
"GONZALEZ VILLARREAL,JOSE A","GONZALEZ VILLARREAL,JOSE ALEJANDRO",96.0,,201622.0
"BELTRAN CONDE,HIRAM ISSAC","BELTRAN CONDE,HIRAM ISAAC",96.0,,30127.0
"PACHECO SOTELO,JOEL OSVALDO","PACHECO SOTELO,JOEL OSBALDO",96.2962963,,6983.0
"HERNANDEZ GOMEZ,IRVING UZIEL","HERNANDEZ GOMEZ,IRVING URIEL",96.42857143,,376704.0
"ARROYO CORDOVA,ISMAEL JAVIER","ARROYO CORDOBA,ISMAEL JAVIER",96.42857143,,482724.0
"MENA CERVANTES,VIOLETA YAZMIN","MENA CERVANTES,VIOLETA YASMIN",96.55172414,fl:vi_ln:menacervantes-1,170728.0
"LOPEZ ARREDONDO,DAMAR LISBETH","LOPEZ ARREDONDO,DAMAR LIZBETH",96.55172414,,207308.0
"MARTINEZ MARTINEZ DE LA ESCALARA,LORENZO","MARTINEZ MARTINEZ DE LA ESCALERA,LORENZO",96.77419355,,171992.0
"ESTRADA GARCIA,IRIS CITLATI ELVIRA","ESTRADA GARCIA,IRIS CITLALI ELVIRA",97.05882353,,6601.0
