NOMBRE DEL INVESTIGADOR,NOMBRE DEL INVESTIGADOR PATENTE,SIMILARITY
"DIAZ DE LEON HERNANDEZ,JORGE NOE","DIAZ DE LEON HERNANDEZ,JORGE NOE",100
"DIAZ FLEISCHER,FRANCISCO","DIAZ FLEISCHER,FRANCISCO",100
"DIAZ RUIZ,MARIA DE LOS ANGELES ARACELI","DIAZ RUIZ,MARIA DE LOS ANGELES ARACELI",100
"DOMINGUEZ AGUILAR,MARCO ANTONIO","DOMINGUEZ AGUILAR,MARCO ANTONIO",100
"DOMINGUEZ CHAVEZ,JORGE GUILLERMO","DOMINGUEZ CHAVEZ,JORGE GUILLERMO",100
"DOMINGUEZ ESQUIVEL,JOSE MANUEL","DOMINGUEZ ESQUIVEL,JOSE MANUEL",100
"DOMINGUEZ MALDONADO,JORGE ARTURO","DOMINGUEZ MALDONADO,JORGE ARTURO",100
"DOUDA,YOURI","DOUDA,YOURI",100
"DUARTE VAZQUEZ,MIGUEL ANGEL","DUARTE VAZQUEZ,MIGUEL ANGEL",100
"DURAN VALENCIA,CECILIA DE LOS ANGELES","DURAN VALENCIA,CECILIA DE LOS ANGELES",100
"ELIZALDE GONZALEZ,MARIA DE LA PAZ","ELIZALDE GONZALEZ,MARIA DE LA PAZ",100
"ELIZALDE SILLER,HUGO RAMON","ELIZALDE SILLER,HUGO RAMON",100
"ELIZONDO RIOJAS,GUILLERMO","ELIZONDO RIOJAS,GUILLERMO",100
"ENRIQUEZ CARREJO,JOSE LUIS","ENRIQUEZ CARREJO,JOSE LUIS",100
"ENRIQUEZ VALENCIA,RAUL","ENRIQUEZ,RAUL G",72
"ESCALERA BRICENO,ALEJANDRO","ESCALERA,ALEJANDRO LEON",7.246.376.811.594.200
"ESCOBAR AGUILAR,JOSE","ESCOBAR AGUILAR,JOSE",100
"ESCOBAR BARRIOS,VLADIMIR ALONSO","ESCOBAR BARRIOS,VLADIMIR ALONSO",100
"ESCOBAR HERNANDEZ,DANIEL","ESCOBAR HERNANDEZ,DANIEL",100
"ESCOBAR VALDERRAMA,GERARDO","ESCOBAR VALDERRAMA,GERARDO",100
"ESCOBAR GALINDO,GERARDO","ESCOBAR,GERARDO",8.181.818.181.818.180
"ESCUDERO URIBE,APOLO ZEUS","ESCUDERO URIBE,APOLO ZEUS",100
"ESPARZA GARCIA,FERNANDO JOSE","ESPARZA,FERNANDO",7.142.857.142.857.140
"ESPARZA FLORES,MIGUEL","ESPARZA,MIGUEL",8.333.333.333.333.330
"ESPINO SOLIS,GERARDO PAVEL","ESPINO SOLIS,GERARDO PAVEL",100
"ESPINOSA ANDREWS,HUGO","ESPINOSA ANDREWS,HUGO",100
"ESPINOSA MONTERO,JUAN","ESPINOSA,JUAN",8.333.333.333.333.330
"ESPINOZA GONZALEZ,CARLOS JOSE","ESPINOZA GONZALEZ,CARLOS JOSE",100
"ESPINOSA GARCIA,ANA CECILIA","ESPINOZA,CECILIA",6.932.367.149.758.450
"ESPINOZA RAMIREZ,CESAR","ESPINOZA,CESAR",8.333.333.333.333.330
"ESQUIVEL MARTINEZ,JUAN MANUEL","ESQUIVEL,JUAN MANUEL",82
"ESTRADA GARCIA,IRIS CITLALI ELVIRA","ESTRADA GARCIA,IRIS CITLATI ELVIRA",9.736.842.105.263.150
"ESTRADA GUEL,IVANOVICH","ESTRADA GUEL,IVANOVICH",100
"ESTRADA VARGAS,ANA PAULA","ESTRADA VARGAS,ANA PAULA",100
"ESTRADA MARTINEZ,JORGE","ESTRADA,JORGE",8.043.478.260.869.560
"ESTRADA HAEN,JOSE LUIS","ESTRADA,JOSE LUIS",8.684.210.526.315.780
"ESTRADA AVALOS,JUAN","ESTRADA,JUAN",8.333.333.333.333.330
"FARIAS MANCILLA,JOSE RURIK","FARIAS MANCILLA,JOSE RURIK",100
"FEMAT FLORES,ALEJANDRO RICARDO","FEMAT FLORES,ALEJANDO RICARDO",9.848.484.848.484.840
"FEMAT FLORES,ALEJANDRO RICARDO","FEMAT FLORES,ALEJANDRO RICARDO",100
"FEREGRINO URIBE,CLAUDIA","FEREGRINO URIBE,CLAUDIA",100
"FERNANDEZ DE CASTRO PEREDO,JORGE","FERNANDEZ DE CASTRO,JORGE",9.222.222.222.222.220
"FERNANDEZ FUENTES,ANTONIO","FERNANDEZ FUENTES,ANTONIO",100
"FERNANDEZ TAVIZON,SALVADOR","FERNANDEZ TAVIZON,SALVADOR",100
"FERNANDEZ RUIZ,JUAN","FERNANDEZ,JUAN",8.913.043.478.260.860
"FERRAT TORRES,GERARDO","FERRAT TORRES,GERARDO",100
"FERREIRA BATISTA,CESAR VICENTE","FERREIRA BATISTA,CESAR VICENTE",100
"FERRO FLORES,GUILLERMINA","FERRO FLORES,GUILLERMINA",100
"FIGUEROA YANEZ,LUIS JOEL","FIGUEROA YANEZ,LUIS JOEL",100
"FIGUEROA IBARRA,CARLOS ALBERTO","FIGUEROA,CARLOS ALBERTO",8.478.260.869.565.210
"FLORES HIGUERA,FRANCISCO ANTONIO","FIGUEROA,FRANCISCO RAMON",7.244.318.181.818.180
"ROMERO FIGUEROA,GUILLERMO","FIGUEROA,GUILLERMO",8.478.260.869.565.210
"FLORES FLORES,RODOLFO","FLORES FLORES,RODOLFO",100
"FLORES GALLARDO,SERGIO GABRIEL","FLORES GALLARDO,SERGIO GABRIEL",100
"FLORES OROPEZA,EUGENIO ALEJANDRO","FLORES OROPEZA,EUGENIO ALEJANDRO",100
"FLORES RAMOS,MIGUEL ANGEL","FLORES RAMOS,MIGUEL ANGEL",100
"FLORES SANCHEZ,PATRICIA","FLORES SANCHEZ,PATRICIA",100
"FLORES SANDOVAL,CESAR ANDRES","FLORES SANDOVAL,CESAR ANDRES",100
"FLORES SANTOS,LETICIA","FLORES SANTOS,LETICIA",100
"FLORES VALDEZ,MARIO ALBERTO","FLORES VALDEZ,MARIO ALBERTO",100
"FLORES GARCIA,ANDRES","FLORES,ANDRES J",7.443.609.022.556.390
"FLORES GOMEZ,CARLOS ALBERTO","FLORES,CARLOS ALBERTO CONCHA",7.333.333.333.333.330
"FLORES CURIEL,DANIEL","FLORES,DANIEL",8.157.894.736.842.100
"FLORES LOPEZ,EMIGDIO Z.","FLORES,EMIGDIO Z",8.070.175.438.596.490
"FLORES GARCIA,FERNANDO","FLORES,FERNANDO",8.157.894.736.842.100
"FLORES LOPEZ,JOSE MANUEL","FLORES,JOSE MANUEL",8.333.333.333.333.330
"FLORES GRACIA,JUAN","FLORES,JUAN F",7.157.894.736.842.100
"FLORES MEJIA,RAUL","FLORES,RAUL",8.333.333.333.333.330
"FLORES DAVILA,RODRIGO","FLORES,RODRIGO F",7.532.894.736.842.100
"FLOTA BANUELOS,MANUEL ISRAEL","FLOTA BANUELOS,MANUEL ISRAEL",100
"FRAGOSO GONZALEZ,GLADIS DEL CARMEN","FRAGOSO GONZALEZ,GLADIS DEL CARMEN",100
"FUENTES AGUILAR,RITA QUETZIQUEL","FUENTES AGUILAR,RITA QUETZIQUEL",100
"FUENTES MOYADO,SERGIO","FUENTES MOYADOS,SERGIO",9.827.586.206.896.550
"FUENTES MOYADO,SERGIO","FUENTES,SERGIO",8.333.333.333.333.330
"GALINDO ESQUIVEL,IGNACIO RENE","GALINDO ESQUIVEL,IGNACIO RENE",100
"GALINDO SEVILLA,NORMA DEL CARMEN","GALINDO SEVILLA,NORMA DEL CARMEN",100
"GALLEGOS ROBLES,MIGUEL ANGEL","GALLEGOS,MIGUEL ANGEL",8.478.260.869.565.210
"GAMBA AYALA,GERARDO","GAMBA,GERARDO",81.25
"GAMINO ROFFE,JOSE CARLOS","GAMIO ROFFE,JOSE  CARLOS",9.565.217.391.304.340
"GARCIA CANTU,RIGOBERTO","GARCIA CANTU,RIGOBERTO",100
"GARCIA CASILLAS,PERLA ELVIA","GARCIA CASILLAS,PERLA ELVIA",100
