Nombre Inventor
"Maldonado Cortes,Demofilo"
"Garcia Escobedo,Diego Ivan"
"Zamora Guerrero,Edgar Benedicto"
"Hernandez Carbajal,Edgar Ivan"
"Meneses Ruiz,Edith"
"de Leon,Eduardo Estrada"
"Esparza Flores,Eduardo Ruiz"
"Serrano,Eduardo"
"Rigoberto Ledesma Orozco,Elias"
"Ruelas Cabrera,Emanuel"
"B Gonzalez,Emmanuel"
"Garcia Ruiz,Emmanuel"
"Saucedo Flores,Emmanuel"
"Chavez,Enrique"
"Chavez Fernandez,Enrique"
"Granell Peniche,Enrique"
"Saldivar Guerra,Enrique"
"Campos Canton,Eric"
"Higashi,Erick"
"Aguinaga,Esau"
"Figueroa Ortiz,Esteban"
"Rojas Silva,Estefania"
"Maya Flores,Etel"
"Villanueva Tavares,Fabiola Patricia"
"Villalobos,Federico"
"Martinez Rodriguez,Felipe Antonio"
"Rodriguez Perfino,Felix"
"Marquez Arzate,Fermin"
"Alonso Martinez,Fernando"
"Chacon,Fernando"
"Garcia,Fernando"
"Ramos,Fernando"
"Hernandez Perez,Fidencio"
"Leyte Guerrero,Florentino"
"Murrieta Guevara,Florentino Rafael"
"Bates Hurtado,Francisco"
"Ferreira Yanez,Francisco Javier"
"Mondragon Sarmiento,Francisco"
"Ronquillo,Francisco"
"A Ruelas,Gabriel"
"Carpio Aragon,Gabriel Arturo"
"Cendejas Santana,Gabriel"
"Gojon Romanillos,Gabriel"
"Hernandez Zamora,Gabriel"
"Rubio Barraza,Gabriela Isabel"
"Neri,Genaro"
"Gonzalez Chapa,Gerardo Angel"
"Pagaza Melero,Gerardo"
"Rodriguez Garay,Gerardo"
"Romero Legorreta,German"
"Gevorgyan,Gohar"
"Espindola,Gonzalo"
"Gutierrez,Gregorio"
"Gonzalez,Guillermo"
"Hernandez Gallegos,Guillermo"
"Morales Barrios,Guillermo"
"Altuve Ferrer,Hector"
"Jesus Velez Rivera,Hector de"
"Morales Bolanos,Hedy H"
"Morales Rodriguez,Irving"
"Fernando Ramirez,J"
"Nault,Jacques"
"Hill Brogoitti,James"
"Alejandra Gutierrez Uribe,Janet"
"Carpio Garcia,Javier"
"Garza,Javier"
"Alarcon Hernandez,Jesus Alfonso"
"Marin Bello,Jesus Antonio"
"Ibarra Hernandez,Jesus Ernesto"
"Marin Cruz,Jesus"
"Omar Ponce,Jesus"
"Fernandez Baumeister,Joaquin"
"Gomez Martinez,Johan"
"Gonzalez Villarreal,Jorge Abraham"
"Cano,Jorge"
"Ramirez Solis,Jorge Fernando"
"Palomeque Santiago,Jorge Froylan"
"Gonzalez,Jorge"
"J Campos,Jorge"
"Rios Almanza,Jorge Luis"
"Rodriguez Vazquez,Jorge Manuel"
"Romero,Jorge"
"Sotelo,Jorge"
"La Fuente,Jose A De #"
"Gastelum Moreno,Jose Alberto"
"Barba Villanueva,Jose Alvaro"
"Aguilar Mendez,Jose Antonio"
"Bivian Balanzario,Jose Antonio"
"Ortiz Niembro,Jose Antonio"
"Cordero,Jose"
"De la Rosa Santamaria,Roberto"
"Formoso,Jose"
"Francisco Aguilar,Jose"
"G Delgado,Jose"
"Sanchez De La Rosa,Jose Guadalupe"
"Garcia Gutierrez,Jose Luis"
"Gutierrez Flores,Jose Luis"
"Ribot Barroso,Jose Maria"
"Munoz Fuentes,Jose Mauricio"
"Rodriguez Mesa,Jose Maurilio"
"Juarez Espinoza,Jose Nicolas"
"De Almeida,Jose Represas"
"Frausto Rodriguez,Jose Roberto"
"Tamez Pena,Jose"
"Daniel Gonzalez,Juan"
"De Jesus,Juan"
"Gonzalez Juarez,Juan Gabriel"
"Manuel Medina,Juan"
"Miguel Gonzalez,Juan"
"Pablo Salgado,Juan"
"Lopez Portillo,Julian"
"Maldonado Valenzuela,Julian"
"Aranda Arzaluz,Karla Janet"
"Sanchez,Laura"
"Simon Buela,Laureano"
"Romo Morales,Leonardo Felipe"
"Urbina,Leopoldo"
"Martinez Gomez,Lorenzo"
"Tena Han,Luis Adrian"
"Alarcon,Luis"
"Garcia Luna,Luis Alberto"
"Eduardo Herrera,Luis"
"Emilio Cruz Barba,Luis"
"Flores Ortiz,Luis Francisco"
"Soni Gutierrez,Luis Humberto"
"Quej Ake,Luis Manuel"
"Lopez Gonzalez,Luis Miguel"
"Olmos Gonzalez,Luis"
"Ibarra Robles,Luis Rafael"
"Zamorano Morfin,Luis Rodolfo"
"Talavera,Luis"
"Alcantara Talavera,Magno"
"Barajas Hernandez,Manlio Francisco"
"Becerra Becerra,Manuel Antonio"
"Moreno Pastor,Marcos"
"Perez,Marcos"
"Franco Urunuela,Maria Paloma"
"Aguero Servin,Mario de"
"Lopez Ruiz,Mario"
"Lorenzana Saucedo,Mario"
"Soberon Chavez,Mario"
"Morelli Luna,Mark Vargas"
"Karpa Feldman,Marvin"
"Sotelo Lerma,Merida"
"Marsch Moreno,Meytha"
"Alvarez,Miguel"
"Angel Hernandez,Miguel"
"Angel Kiyama Rodriguez,Miguel"
"Leal Cerda,Miguel Angel"
"Silva Rubio,Miguel Angel"
"Alvarado LICON,Miguel Enrique"
"Mendez,Miguel"
"Perez Luna,Miguel"
"Romero Escobedo,Missael Bonifacio"
"Huerta Ruvalcaba,Monica Montserrat"
"Victorovna Likhanova,Natalya"
"Zapata Penasco,Norma Icoquih"
"Aguilar Macedo,Omar"
"Garcia Lopez,Omar"
"Mendoza Vera,Omar"
"Rocha,Omar"
"Flores Pantoja,Oscar Eduardo"
"Gloria Bello,Oscar"
"Omar Estrada,Oscar"
"Ponte Rivas,Oscar"
"Rodriguez,Oscar"
"Gonzalez,Pablo"
"Villalva Sanchez,Pablo Isaac"
"Perez Romo,Patricia"
"Angel Vicente,Paz Del"
"Pena Santoyo,Pedro"
"Garcia,Rafael"
"Pinto Negroe,Rafael"
"Maldonado Cabrera,Raquel"
"Arellano MALDONADO,Raul"
"Medina Mora Icaza,Raul"
"Santillan Galvan,Raul"
"Martinez Sierra,Rene"
"Luna Olvera,Ricardo David"
"Hernandez,Ricardo"
"Betancourt Sanchez,Roberto"
